source,run,level,n,prevalence,accuracy,balanced_accuracy,macro_f1,mcc,auroc,auprc,brier,calibration_slope,calibration_intercept,ece
E2,depresjon.logreg.internal,subject,55,0.41818181818181815,0.8181818181818182,0.8192934782608696,0.8151881720430108,0.6325987349183444,0.8994565217391304,0.905409368202184,0.14712442799218414,2.30574419586347,-0.262914212945807,0.14774852394757054
E2,depresjon.rf.internal,window,1034,0.3471953578336557,0.718568665377176,0.6625172805117094,0.6693309009786198,0.3498158706819666,0.77025069637883,0.653274263352335,0.18056787183354084,0.7674609306438869,0.01139323985997758,0.05572061932865775
E2,depresjon.rf.internal,subject,55,0.41818181818181815,0.7636363636363637,0.7296195652173914,0.7352832284339134,0.5200221552620031,0.8831521739130435,0.8591405910069638,0.1579384779956821,2.2596951852551803,0.18560496893952286,0.11123373803837977
E2,depresjon.xgboost.internal,window,1034,0.3471953578336557,0.7195357833655706,0.6658660889301558,0.6724602727276698,0.35422036347271146,0.7641019292272775,0.6460270811261551,0.19212160931706154,0.530732620266184,0.2658557651030875,0.10487517516943909
E2,depresjon.xgboost.internal,subject,55,0.41818181818181815,0.7818181818181819,0.7513586956521738,0.7587719298245614,0.5567845705216826,0.8736413043478262,0.8617676693976386,0.15462177331902185,1.8059953120644927,0.3542042942837963,0.13593808166682625
E2,psykose-to-depresjon.logreg.external,window,693,0.5180375180375181,0.658008658008658,0.666371991393258,0.6425759445325812,0.37270899594710305,0.6891940353276733,0.7396417390473607,0.26212539869963286,0.2673771567276507,1.2020450349045335,0.20207782349694994
E2,psykose-to-depresjon.logreg.external,subject,39,0.5897435897435898,0.6666666666666666,0.717391304347826,0.6585858585858586,0.4897755199783009,0.8016304347826086,0.8857089360152395,0.23532867581373026,0.858652742161539,1.1861423831944897,0.2544565378444385
E2,psykose-to-depresjon.rf.external,window,693,0.5180375180375181,0.6637806637806638,0.6713175320667857,0.6519051879318336,0.3745882686816383,0.7283121778726669,0.7815165083844164,0.22519889224585837,0.6321340832112687,0.7426611226581729,0.1486561169720202
E2,psykose-to-depresjon.rf.external,subject,39,0.5897435897435898,0.6923076923076923,0.7391304347826086,0.6871657754010696,0.5227733021739333,0.8260869565217391,0.8985398427067415,0.20017103658385185,2.2179013681472206,0.8628829162232093,0.25342493420408546
E2,psykose-to-depresjon.xgboost.external,window,693,0.5180375180375181,0.6363636363636364,0.6451678815071806,0.6177304964539008,0.3302529643102679,0.6711090354110719,0.7334559093468394,0.283545520139482,0.30554151044977174,1.4278813283699787,0.22878991156846465
E2,psykose-to-depresjon.xgboost.external,subject,39,0.5897435897435898,0.6153846153846154,0.6739130434782609,0.5984900480439259,0.4237017130659009,0.7554347826086957,0.8488709979096507,0.24262227223135277,1.2361971681276216,1.2413365188522312,0.240666750026802
E2,psykose.logreg.internal,window,687,0.5036390101892285,0.8122270742358079,0.8119734544776499,0.8119146407462037,0.6256567485454079,0.8853592799145662,0.8810539190873095,0.13716895732189904,0.7704197025718125,-0.09507911366095025,0.060740679437240125
E2,psykose.logreg.internal,subject,38,0.5789473684210527,0.8947368421052632,0.8835227272727273,0.8898550724637682,0.7850960525237098,0.96875,0.9806384145589542,0.0895790892490624,2.2606468205944132,0.21549439702142767,0.12327133369857242
E2,psykose.rf.internal,window,687,0.5036390101892285,0.7962154294032023,0.7958868001288288,0.7956851282225583,0.5944245104250131,0.8544064550031361,0.8437477552916626,0.15134128369234512,0.8220846573167233,-0.08389151443887262,0.05477420525341071
E2,psykose.rf.internal,subject,38,0.5789473684210527,0.8421052631578947,0.8295454545454546,0.8347826086956522,0.6746010525388914,0.9488636363636364,0.9649182243105177,0.10921345832147134,2.0141823837078396,0.22152912547762799,0.18205632138385505
E2,psykose.xgboost.internal,window,687,0.5036390101892285,0.7962154294032023,0.7960563117658027,0.7960594391952639,0.5927812146181692,0.8766294306104114,0.8731890795548422,0.14764994289716607,0.6188225635990714,-0.16355287591324935,0.08289941887583405
E2,psykose.xgboost.internal,subject,38,0.5789473684210527,0.8947368421052632,0.8835227272727273,0.8898550724637682,0.7850960525237098,0.9659090909090909,0.9782460700613465,0.09010538625614142,1.907447585194483,0.17691054044900445,0.1154839927186751
E2,depresjon-to-hyperaktiv.logreg.external+recal,window,502,0.5039840637450199,0.4601593625498008,0.4606806673333651,0.4580928366853487,-0.07932473890147203,0.4417511945013255,0.48353868369491126,0.3112233824488467,-0.23247404531300667,0.2230032136530577,0.22341057145315255
E2,depresjon-to-hyperaktiv.rf.external+recal,window,502,0.5039840637450199,0.48406374501992033,0.4853167611156087,0.4716326323275424,-0.030937883580739473,0.4605139927298125,0.5039977744116094,0.3012467304149019,-0.1984554581744493,0.3650067490703761,0.17643242754990768
E2,depresjon-to-hyperaktiv.xgboost.external+recal,window,502,0.5039840637450199,0.4940239043824701,0.49513468895344226,0.48456625434554124,-0.010132316254898457,0.45886312046605393,0.4915573692050019,0.3107871609697884,-0.16711462431788934,0.3623518479002774,0.19440378369380987
E2,depresjon-to-psykose.logreg.external+recal,window,680,0.5088235294117647,0.6867647058823529,0.6892890519538957,0.6813054068504816,0.3942204087413829,0.7790488387387076,0.7051569827301065,0.21062109888771746,0.7190556239082803,0.5619208986269554,0.13919547218082548
